centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,956,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,896,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,944,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,927,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,910,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,741,569.7427959671329,1528.538128954915,1091.278188534629,388814.03861634206
0.05,721,673.8427383593225,3539.333742334839,1621.1468036825177,442584.2227101904
0.05,932,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,940,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,728,650.1181859989115,3462.901945967076,1598.1819670489492,441147.4355314156
0.05,713,388.06498997003655,2268.693454580125,1306.2721983960241,373306.4596154045
0.05,714,396.3473211370963,3322.0744858480316,1434.6896980021763,405413.37885466695
0.05,912,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,925,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,730,447.1196915683455,2547.4292001902295,1388.9985970408325,375120.4822474382
0.05,974,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,716,606.6296996104298,3712.6190775319806,1667.3799746145662,430365.3083771037
0.05,968,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,734,423.38230197788937,2342.7480221294654,1332.044935064846,376365.98458398954
0.05,979,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,917,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,966,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,962,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,707,682.7549139627216,3610.432283985404,1640.4277405738253,442225.616792895
0.05,977,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,935,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,911,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,710,296.93876114421346,2157.203284454469,1249.9187866134494,363059.9828681237
0.05,949,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,895,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,942,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,967,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,885,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,934,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,719,673.8427383593225,3539.333742334839,1621.1468036825177,442584.2227101904
